locus,comeron_midpoint_recomb
2L:9000000..9004999      ,1.52      
2L:9005000..9009999      ,1.52      
2L:9010000..9014999      ,1.52      
2L:9015000..9019999      ,1.52      
2L:9020000..9024999      ,1.52      
2L:9025000..9029999      ,1.52      
2L:9030000..9034999      ,1.52      
2L:9035000..9039999      ,1.52      
2L:9040000..9044999      ,1.52      
2L:9045000..9049999      ,1.52      
2L:9050000..9054999      ,1.52      
2L:9055000..9059999      ,1.52      
2L:9060000..9064999      ,1.52      
2L:9065000..9069999      ,1.52      
2L:9070000..9074999      ,1.52      
2L:9075000..9079999      ,1.52      
2L:9080000..9084999      ,1.52      
2L:9085000..9089999      ,1.52      
2L:9090000..9094999      ,1.52      
2L:9095000..9099999      ,1.52      
2L:9100000..9104999      ,2.35      
2L:9105000..9109999      ,2.35      
2L:9110000..9114999      ,2.35      
2L:9115000..9119999      ,2.35      
2L:9120000..9124999      ,2.35      
2L:9125000..9129999      ,2.35      
2L:9130000..9134999      ,2.35      
2L:9135000..9139999      ,2.35      
2L:9140000..9144999      ,2.35      
2L:9145000..9149999      ,2.35      
2L:9150000..9154999      ,2.35      
2L:9155000..9159999      ,2.35      
2L:9160000..9164999      ,2.35      
2L:9165000..9169999      ,2.35      
2L:9170000..9174999      ,2.35      
2L:9175000..9179999      ,2.35      
2L:9180000..9184999      ,2.35      
2L:9185000..9189999      ,2.35      
2L:9190000..9194999      ,2.35      
2L:9195000..9199999      ,2.35      
2L:9200000..9204999      ,2.46      
2L:9205000..9209999      ,2.46      
2L:9210000..9214999      ,2.46      
2L:9215000..9219999      ,2.46      
2L:9220000..9224999      ,2.46      
2L:9225000..9229999      ,2.46      
2L:9230000..9234999      ,2.46      
2L:9235000..9239999      ,2.46      
2L:9240000..9244999      ,2.46      
2L:9245000..9249999      ,2.46      
2L:9250000..9254999      ,2.46      
2L:9255000..9259999      ,2.46      
2L:9260000..9264999      ,2.46      
2L:9265000..9269999      ,2.46      
2L:9270000..9274999      ,2.46      
2L:9275000..9279999      ,2.46      
2L:9280000..9284999      ,2.46      
2L:9285000..9289999      ,2.46      
2L:9290000..9294999      ,2.46      
2L:9295000..9299999      ,2.46      
2L:9300000..9304999      ,0.12      
2L:9305000..9309999      ,0.12      
2L:9310000..9314999      ,0.12      
2L:9315000..9319999      ,0.12      
2L:9320000..9324999      ,0.12      
2L:9325000..9329999      ,0.12      
2L:9330000..9334999      ,0.12      
2L:9335000..9339999      ,0.12      
2L:9340000..9344999      ,0.12      
2L:9345000..9349999      ,0.12      
2L:9350000..9354999      ,0.12      
2L:9355000..9359999      ,0.12      
2L:9360000..9364999      ,0.12      
2L:9365000..9369999      ,0.12      
2L:9370000..9374999      ,0.12      
2L:9375000..9379999      ,0.12      
2L:9380000..9384999      ,0.12      
2L:9385000..9389999      ,0.12      
2L:9390000..9394999      ,0.12      
2L:9395000..9399999      ,0.12      
2L:9400000..9404999      ,2.35      
