Chromosome	Position(bp)	Rate(cM/Mb)
chr2R	4162495	0.000000
chr2R	4262495	0.000000
chr2R	4362495	0.000000
chr2R	4462495	0.000000
chr2R	4562495	0.000000
chr2R	4662495	0.000000
chr2R	4762495	0.000000
chr2R	4862495	0.108400
chr2R	4962495	1.193100
chr2R	5062495	0.216900
chr2R	5162495	0.542300
chr2R	5262495	0.000000
chr2R	5362495	0.000000
chr2R	5462495	0.000000
chr2R	5562495	0.433800
chr2R	5662495	1.193100
chr2R	5762495	0.216900
chr2R	5862495	0.216900
chr2R	5962495	0.000000
chr2R	6062495	0.325300
chr2R	6162495	0.542300
chr2R	6262495	0.000000
chr2R	6362495	0.216900
chr2R	6462495	0.000000
chr2R	6562495	0.976100
chr2R	6662495	0.542300
chr2R	6762495	0.542300
chr2R	6862495	0.108400
chr2R	6962495	0.108400
chr2R	7062495	1.843800
chr2R	7162495	0.433800
chr2R	7262495	0.216900
chr2R	7362495	0.759200
chr2R	7462495	2.386200
chr2R	7562495	0.542300
chr2R	7662495	2.277700
chr2R	7762495	0.325300
chr2R	7862495	2.277700
chr2R	7962495	0.542300
chr2R	8062495	0.433800
chr2R	8162495	1.410000
chr2R	8262495	0.216900
chr2R	8362495	0.867700
chr2R	8462495	0.216900
chr2R	8562495	1.301500
chr2R	8662495	1.084600
chr2R	8762495	0.325300
chr2R	8862495	0.542300
chr2R	8962495	1.301500
chr2R	9062495	1.410000
chr2R	9162495	0.867700
chr2R	9262495	0.650700
chr2R	9362495	2.494600
chr2R	9462495	5.531600
chr2R	9562495	2.603100
chr2R	9662495	1.193100
chr2R	9762495	3.904700
chr2R	9862495	1.084600
chr2R	9962495	0.759200
chr2R	10062495	1.735400
chr2R	10162495	0.976100
chr2R	10262495	3.253900
chr2R	10362495	2.277700
chr2R	10462495	1.952300
chr2R	10562495	2.494600
chr2R	10662495	2.169200
chr2R	10762495	3.253900
chr2R	10862495	4.338500
chr2R	10962495	3.145400
chr2R	11062495	8.026300
chr2R	11162495	4.121600
chr2R	11262495	2.711600
chr2R	11362495	1.410000
chr2R	11462495	2.494600
chr2R	11562495	3.904700
chr2R	11662495	7.700900
chr2R	11762495	2.060800
chr2R	11862495	1.301500
chr2R	11962495	2.928500
chr2R	12062495	8.243200
chr2R	12162495	2.603100
chr2R	12262495	5.857000
chr2R	12362495	3.362300
chr2R	12462495	3.362300
chr2R	12562495	3.904700
chr2R	12662495	6.833200
chr2R	12762495	8.460200
chr2R	12862495	1.518400
chr2R	12962495	5.748600
chr2R	13062495	2.386200
chr2R	13162495	1.084600
chr2R	13262495	2.386200
chr2R	13362495	2.386200
chr2R	13462495	1.735400
chr2R	13562495	2.277700
chr2R	13662495	2.820000
chr2R	13762495	1.084600
chr2R	13862495	3.579300
chr2R	13962495	2.169200
chr2R	14062495	6.724700
chr2R	14162495	3.687700
chr2R	14262495	4.230100
chr2R	14362495	5.206200
chr2R	14462495	1.735400
chr2R	14562495	3.362300
chr2R	14662495	2.494600
chr2R	14762495	1.952300
chr2R	14862495	1.410000
chr2R	14962495	4.338500
chr2R	15062495	6.073900
chr2R	15162495	1.084600
chr2R	15262495	1.301500
chr2R	15362495	3.362300
chr2R	15462495	1.301500
chr2R	15562495	4.447000
chr2R	15662495	2.928500
chr2R	15762495	4.121600
chr2R	15862495	2.169200
chr2R	15962495	3.904700
chr2R	16062495	3.579300
chr2R	16162495	6.724700
chr2R	16262495	8.134800
chr2R	16362495	3.145400
chr2R	16462495	4.447000
chr2R	16562495	4.555400
chr2R	16662495	8.134800
chr2R	16762495	3.579300
chr2R	16862495	2.060800
chr2R	16962495	2.928500
chr2R	17062495	1.626900
chr2R	17162495	2.928500
chr2R	17262495	1.735400
chr2R	17362495	4.989300
chr2R	17462495	2.820000
chr2R	17562495	0.542300
chr2R	17662495	3.036900
chr2R	17762495	2.386200
chr2R	17862495	4.013100
chr2R	17962495	7.809400
chr2R	18062495	4.447000
chr2R	18162495	3.145400
chr2R	18262495	5.640100
chr2R	18362495	3.145400
chr2R	18462495	3.253900
chr2R	18562495	3.145400
chr2R	18662495	7.267100
chr2R	18762495	3.687700
chr2R	18862495	8.894000
chr2R	18962495	3.579300
chr2R	19062495	4.121600
chr2R	19162495	5.640100
chr2R	19262495	4.880800
chr2R	19362495	4.230100
chr2R	19462495	2.277700
chr2R	19562495	1.952300
chr2R	19662495	1.301500
chr2R	19762495	0.433800
chr2R	19862495	1.626900
chr2R	19962495	1.735400
chr2R	20062495	0.216900
chr2R	20162495	3.036900
chr2R	20262495	4.555400
chr2R	20362495	5.314700
chr2R	20462495	3.362300
chr2R	20562495	3.796200
chr2R	20662495	6.724700
chr2R	20762495	3.579300
chr2R	20862495	2.711600
chr2R	20962495	7.158600
chr2R	21062495	2.603100
chr2R	21162495	5.423200
chr2R	21262495	7.484000
chr2R	21362495	2.603100
chr2R	21462495	2.494600
chr2R	21562495	6.073900
chr2R	21662495	5.097800
chr2R	21762495	2.603100
chr2R	21862495	2.494600
chr2R	21962495	1.735400
chr2R	22062495	2.711600
chr2R	22162495	2.169200
chr2R	22262495	2.494600
chr2R	22362495	0.976100
chr2R	22462495	8.351700
chr2R	22562495	3.145400
chr2R	22662495	1.626900
chr2R	22762495	2.277700
chr2R	22862477	3.145400
chr2R	22962477	2.494600
chr2R	23062477	3.145400
chr2R	23162477	2.386200
chr2R	23262477	1.410000
chr2R	23362477	0.867700
chr2R	23462477	7.484000
chr2R	23562477	6.399300
chr2R	23662477	3.796200
chr2R	23762477	5.857000
chr2R	23862477	1.843800
chr2R	23962477	2.169200
chr2R	24062477	1.518400
chr2R	24162477	1.735400
chr2R	24262477	3.470800
chr2R	24362477	1.301500
chr2R	24462477	2.386200
chr2R	24562477	1.301500
chr2R	24662477	2.386200
chr2R	24762477	1.843800
chr2R	24862477	3.579300
chr2R	24962477	0.216900
chr2R	25062477	0.108400
chr2R	25162477	0.000000
chr2R	25235831	0.000000
