Chromosome	Position(bp)	Rate(cM/Mb)
chr2L	50000	0.000000
chr2L	150000	0.000000
chr2L	250000	0.000000
chr2L	350000	0.234500
chr2L	450000	0.234500
chr2L	550000	1.993600
chr2L	650000	1.407300
chr2L	750000	1.055400
chr2L	850000	2.345500
chr2L	950000	3.049100
chr2L	1050000	3.400900
chr2L	1150000	2.814600
chr2L	1250000	3.635500
chr2L	1350000	1.759100
chr2L	1450000	0.703600
chr2L	1550000	2.462700
chr2L	1650000	2.931800
chr2L	1750000	2.228200
chr2L	1850000	1.759100
chr2L	1950000	5.394600
chr2L	2050000	2.462700
chr2L	2150000	1.641800
chr2L	2250000	3.635500
chr2L	2350000	1.641800
chr2L	2450000	4.691000
chr2L	2550000	2.580000
chr2L	2650000	2.580000
chr2L	2750000	5.746400
chr2L	2850000	2.228200
chr2L	2950000	0.938200
chr2L	3050000	1.055400
chr2L	3150000	6.919200
chr2L	3250000	2.345500
chr2L	3350000	2.345500
chr2L	3450000	5.042800
chr2L	3550000	4.221900
chr2L	3650000	1.876400
chr2L	3750000	3.635500
chr2L	3850000	7.505600
chr2L	3950000	7.388300
chr2L	4050000	6.684600
chr2L	4150000	3.635500
chr2L	4250000	7.271000
chr2L	4350000	5.746400
chr2L	4450000	4.104600
chr2L	4550000	1.876400
chr2L	4650000	1.759100
chr2L	4750000	5.160100
chr2L	4850000	9.499200
chr2L	4950000	6.332800
chr2L	5050000	5.511900
chr2L	5150000	3.518200
chr2L	5250000	7.036500
chr2L	5350000	1.876400
chr2L	5450000	3.166400
chr2L	5550000	4.221900
chr2L	5650000	2.110900
chr2L	5750000	1.290000
chr2L	5850000	1.524500
chr2L	5950000	2.228200
chr2L	6050000	2.345500
chr2L	6150000	1.290000
chr2L	6250000	4.573700
chr2L	6350000	3.049100
chr2L	6450000	3.987300
chr2L	6550000	3.400900
chr2L	6650000	3.752800
chr2L	6750000	1.524500
chr2L	6850000	3.518200
chr2L	6950000	1.876400
chr2L	7050000	10.202900
chr2L	7150000	3.987300
chr2L	7250000	2.697300
chr2L	7350000	2.462700
chr2L	7450000	1.641800
chr2L	7550000	2.580000
chr2L	7650000	2.110900
chr2L	7750000	2.345500
chr2L	7850000	1.524500
chr2L	7950000	8.678300
chr2L	8050000	3.987300
chr2L	8150000	6.215500
chr2L	8250000	3.283700
chr2L	8350000	3.283700
chr2L	8450000	2.345500
chr2L	8550000	4.808200
chr2L	8650000	3.400900
chr2L	8750000	1.407300
chr2L	8850000	2.814600
chr2L	8950000	4.221900
chr2L	9050000	1.524500
chr2L	9150000	2.345500
chr2L	9250000	2.462700
chr2L	9350000	0.117200
chr2L	9450000	2.345500
chr2L	9550000	4.925500
chr2L	9650000	3.166400
chr2L	9750000	4.339100
chr2L	9850000	5.394600
chr2L	9950000	1.524500
chr2L	10050000	8.091900
chr2L	10150000	9.499200
chr2L	10250000	6.567400
chr2L	10350000	3.635500
chr2L	10450000	3.283700
chr2L	10550000	3.870000
chr2L	10650000	2.814600
chr2L	10750000	3.400900
chr2L	10850000	2.697300
chr2L	10950000	2.931800
chr2L	11050000	3.987300
chr2L	11150000	2.110900
chr2L	11250000	1.876400
chr2L	11350000	2.345500
chr2L	11450000	1.172700
chr2L	11550000	0.938200
chr2L	11650000	1.407300
chr2L	11750000	1.407300
chr2L	11850000	1.993600
chr2L	11950000	2.228200
chr2L	12050000	2.931800
chr2L	12150000	4.221900
chr2L	12250000	7.622800
chr2L	12350000	2.110900
chr2L	12450000	1.759100
chr2L	12550000	5.160100
chr2L	12650000	7.505600
chr2L	12750000	3.049100
chr2L	12850000	1.993600
chr2L	12950000	1.290000
chr2L	13050000	2.931800
chr2L	13150000	5.042800
chr2L	13250000	0.938200
chr2L	13350000	0.820900
chr2L	13450000	1.876400
chr2L	13550000	3.635500
chr2L	13650000	1.993600
chr2L	13750000	3.987300
chr2L	13850000	2.228200
chr2L	13950000	1.641800
chr2L	14050000	3.166400
chr2L	14150000	1.876400
chr2L	14250000	1.993600
chr2L	14350000	1.641800
chr2L	14450000	6.215500
chr2L	14550000	1.172700
chr2L	14650000	3.752800
chr2L	14750000	1.055400
chr2L	14850000	1.641800
chr2L	14950000	1.172700
chr2L	15050000	1.172700
chr2L	15150000	0.938200
chr2L	15250000	3.752800
chr2L	15350000	1.641800
chr2L	15450000	1.524500
chr2L	15550000	0.586300
chr2L	15650000	2.110900
chr2L	15750000	1.055400
chr2L	15850000	0.234500
chr2L	15950000	0.820900
chr2L	16050000	0.469100
chr2L	16150000	0.703600
chr2L	16250000	1.524500
chr2L	16350000	3.518200
chr2L	16450000	3.987300
chr2L	16550000	3.870000
chr2L	16650000	2.814600
chr2L	16750000	4.221900
chr2L	16850000	1.641800
chr2L	16950000	5.629200
chr2L	17050000	1.993600
chr2L	17150000	1.524500
chr2L	17250000	2.345500
chr2L	17350000	1.172700
chr2L	17450000	1.641800
chr2L	17550000	0.117200
chr2L	17650000	0.117200
chr2L	17750000	0.469100
chr2L	17850000	0.469100
chr2L	17950000	1.993600
chr2L	18050000	0.938200
chr2L	18150000	0.703600
chr2L	18250000	0.469100
chr2L	18350000	0.351800
chr2L	18450000	0.234500
chr2L	18550000	0.234500
chr2L	18650000	0.234500
chr2L	18750000	0.234500
chr2L	18850000	1.407300
chr2L	18950000	0.117200
chr2L	19050000	0.117200
chr2L	19150000	0.469100
chr2L	19250000	0.469100
chr2L	19350000	0.000000
chr2L	19450000	0.351800
chr2L	19550000	0.117200
chr2L	19650000	0.234500
chr2L	19750000	0.117200
chr2L	19850000	1.172700
chr2L	19950000	0.234500
chr2L	20050000	0.586300
chr2L	20150000	0.117200
chr2L	20250000	0.234500
chr2L	20350000	0.000000
chr2L	20450000	0.234500
chr2L	20550000	0.703600
chr2L	20650000	0.351800
chr2L	20750000	0.234500
chr2L	20850000	0.000000
chr2L	20950000	2.345500
chr2L	21050000	1.172700
chr2L	21150000	0.351800
chr2L	21250000	0.117200
chr2L	21350000	0.117200
chr2L	21450000	0.000000
chr2L	21550000	0.351800
chr2L	21650000	0.000000
chr2L	21750000	0.000000
chr2L	21850000	0.000000
chr2L	21950000	0.000000
chr2L	22050000	0.117200
chr2L	22150000	0.000000
chr2L	22250000	2.814600
chr2L	22350000	3.870000
chr2L	22557268	0.351800
chr2L	22657268	0.117200
chr2L	22757268	0.000000
chr2L	22857268	0.000000
chr2L	22957268	0.234500
chr2L	23057268	0.000000
chr2L	23106570	0.000000
